Date,focus_expected_inflation,Infl. 12 m suav.,Infl. meses 13-24,Infl. meses 13-24 suav.,bcb_expected_inflation,selic_target,exchange_rate,exchange_rate_var,output,output_potential,output_gap,inflation_target,interval_size,upper_limit,lower_limit,inflation_12m,ano,mes,inflation_target_next,bcb_inflation_deviation,focus_inflation_deviation
2014-10,6.38,6.37,,,5.8999999999999995,11.25,2.4482608695652175,4.946386968898575,115.77153,110.9633334168667,4.808196583133295,4.5,,,,6.59,2014,10,4.5,1.3999999999999995,1.88
2014-12,6.59,6.59,,,6.1,11.75,2.6393636363636364,3.5708635287188706,111.48084,110.3381820139213,1.142657986078703,4.5,,,,6.41,2014,12,4.5,1.5999999999999996,2.09
2015-01,6.77,6.61,,,6.033333333333333,12.25,2.6342285714285714,-0.19455693275139962,112.07362,110.02214413951336,2.051475860486647,4.5,2.0,6.5,2.5,7.14,2015,1,4.5,1.5333333333333332,2.269999999999999
2015-03,6.93,6.47,,,5.9,12.75,3.1394772727272726,11.4693061381268,110.68484,109.38640169492747,1.2984383050725228,4.5,,,,8.13,2015,3,4.5,1.4000000000000004,2.4299999999999997
2015-04,6.13,5.97,,,5.733333333333333,13.25,3.0432200000000003,-3.0660286527143255,108.53225,109.06803978889883,-0.5357897888988248,4.5,,,,8.17,2015,4,4.5,1.2333333333333334,1.6299999999999997
2015-06,6.12,5.97,,,5.4,13.75,3.1117380952380955,1.6338259843942327,106.45823,108.43375408712987,-1.9755240871298696,4.5,,,,8.89,2015,6,4.5,0.9000000000000004,1.62
2015-07,5.98,5.71,,,5.533333333333333,14.25,3.2231434782608694,3.580165798441004,104.58883,108.11918436512151,-3.530354365121511,4.5,,,,9.56,2015,7,4.5,1.0333333333333332,1.4800000000000004
2015-09,5.63,5.65,,,5.8,14.25,3.906457142857143,11.158747107061773,102.65011,107.49846037431098,-4.848350374310982,4.5,,,,9.49,2015,9,4.5,1.2999999999999998,1.13
2015-10,6.63,6.53,,,5.933333333333334,14.25,3.8801380952380953,-0.6737318920078672,102.50292,107.19354261265067,-4.690622612650671,4.5,,,,9.93,2015,10,4.5,1.4333333333333336,2.13
2015-11,7.27,7.12,,,6.066666666666666,14.25,3.77646,-2.6720207552750286,100.71552,106.89302694205645,-6.1775069420564535,4.5,,,,10.48,2015,11,4.5,1.5666666666666664,2.7699999999999996
2016-01,7.09,6.91,,,6.0,14.25,4.05235,4.681148359067699,100.06764,106.3072898314119,-6.239649831411896,4.5,2.0,6.5,2.5,10.71,2016,1,4.5,1.5,2.59
2016-03,7.06,6.7,,,5.6,14.25,3.7039181818181817,-6.790171991473681,99.56055,105.74491042764286,-6.184360427642858,4.5,,,,9.39,2016,3,4.5,1.0999999999999996,2.5599999999999996
2016-04,6.19,6.21,,,5.466666666666667,14.25,3.5658450000000004,-3.7277600378959774,99.59657,105.47339644752309,-5.8768264475230865,4.5,,,,9.28,2016,4,4.5,0.9666666666666668,1.6900000000000004
2016-06,6.25,5.89,,,5.2,14.25,3.4244772727272728,-3.243961020876207,98.63916,104.951118238807,-6.311958238806994,4.5,,,,8.84,2016,6,4.5,0.7000000000000002,1.75
2016-07,5.79,5.71,,,4.966666666666667,14.25,3.2755666666666667,-4.348418581911417,99.33932,104.70078151089596,-5.361461510895964,4.5,,,,8.74,2016,7,4.5,0.4666666666666668,1.29
2016-08,5.42,5.28,,,4.733333333333333,14.25,3.209660869565217,-2.012042611500797,97.47061,104.4578558766469,-6.987245876646909,4.5,,,,8.97,2016,8,4.0,0.5666666666666668,1.2533333333333332
2016-10,5.0,5.02,,,4.466666666666667,14.0,3.185845,-2.165798039886624,97.1394,103.99459832270394,-6.8551983227039415,4.5,,,,7.87,2016,10,4.5,-0.033333333333333215,0.5
2016-11,4.8,4.9,,,4.433333333333334,14.0,3.34203,4.902467006398603,98.08853,103.7743218429139,-5.6857918429139005,4.5,,,,6.99,2016,11,3.0,1.3083333333333336,1.6749999999999996
